,player_name,rank,battle_count,won,lost,tie,points,total_score,total_enemy_score,mean_score,mean_enemy_score,killed_all_enemy_units,all_units_died,wins_as_player_1,wins_as_player_2
0,Ender,1,14,12,2,0,12.0,29194.0,3190.0,2085.285714285714,227.85714285714286,11,2,6,6
1,KongFuSyrianPandas,2,14,12,2,0,12.0,30281.0,12279.0,2162.9285714285716,877.0714285714286,9,2,6,6
2,UnderTheHoodBot,3,14,9,5,0,9.0,27826.0,9115.0,1987.5714285714287,651.0714285714286,6,5,4,5
3,Fun With Flags,4,14,8,6,0,8.0,25769.0,22973.0,1840.642857142857,1640.9285714285713,5,1,3,5
4,Bot1,5,14,6,8,0,6.0,29474.0,29177.0,2105.285714285714,2084.0714285714284,0,6,3,3
5,data_campers,6,14,5,9,0,5.0,19179.0,19430.0,1369.9285714285713,1387.857142857143,0,7,2,3
6,space_pirates,7,14,4,10,0,4.0,9300.0,41113.0,664.2857142857143,2936.6428571428573,2,4,2,2
7,rocket_league_bot,8,14,0,14,0,0.0,9508.0,43254.0,679.1428571428571,3089.5714285714284,0,6,0,0
