,player_name,rank,battle_count,won,lost,tie,points,total_score,total_enemy_score,mean_score,mean_enemy_score,killed_all_enemy_units,all_units_died,wins_as_player_1,wins_as_player_2
0,Fun With Flags,1,20,18,2,0,18.0,30963.0,6631.0,1548.15,331.55,12,2,9,9
1,Ender,2,20,17,3,0,17.0,20385.0,3458.0,1019.25,172.9,16,3,8,9
2,KongFuSyrianPandas,3,20,16,4,0,16.0,34089.0,10281.0,1704.45,514.05,10,4,8,8
3,Bot1,4,20,13,7,0,13.0,41011.0,12704.0,2050.55,635.2,8,1,6,7
4,Arrakis,5,20,13,7,0,13.0,35078.0,14546.0,1753.9,727.3,8,5,5,8
5,UnderTheHoodBot,6,20,11,9,0,11.0,22447.0,11320.0,1122.35,566.0,10,9,5,6
6,PowerPuff,7,20,6,14,0,6.0,19419.0,30342.0,970.95,1517.1,0,12,4,2
7,data_campers,8,20,5,15,0,5.0,32952.0,43059.0,1647.6,2152.95,0,4,3,2
8,rocket_league_bot,9,20,4,16,0,4.0,15339.0,53837.0,766.95,2691.85,0,8,2,2
9,spaceNinjas,10,20,4,16,0,4.0,16269.0,54434.0,813.45,2721.7,0,8,3,1
10,space_pirates,11,20,3,17,0,3.0,8954.0,36294.0,447.7,1814.7,0,8,2,1
